,Loss func,Func params,Num observations,Learn rate,Init w1,Init w2,Init bias,break good,break bad,Num iterations,w1 delta,w2 delta,bias delta,loss / num obs,loss,w1,w2,bias
71,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,-0.1,10.0,False,False,9999,-0.007,-0.001,-1.818,1.833,1832.899,2.007,-2.999,6.818
72,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,0.1,-10.0,False,False,9999,0.014,-0.015,5.542,15.444,15444.104,1.986,-2.985,-0.542
73,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,0.1,-0.1,False,False,9999,0.004,-0.008,1.899,1.937,1937.462,1.996,-2.992,3.101
74,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,0.1,0.1,False,False,9999,0.003,-0.008,1.825,1.801,1801.347,1.997,-2.992,3.175
75,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,0.1,10.0,False,False,9999,-0.007,-0.001,-1.818,1.833,1832.641,2.007,-2.999,6.818
76,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,10.0,-10.0,False,False,9999,0.014,-0.015,5.549,15.483,15482.689,1.986,-2.985,-0.549
77,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,10.0,-0.1,False,False,9999,0.004,-0.008,1.906,1.951,1950.642,1.996,-2.992,3.094
78,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,10.0,0.1,False,False,9999,0.003,-0.008,1.832,1.814,1814.014,1.997,-2.992,3.168
79,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,10.0,10.0,False,False,9999,-0.007,-0.001,-1.811,1.82,1819.903,2.007,-2.999,6.811
80,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,-10.0,-10.0,False,False,9999,0.014,-0.015,5.525,15.35,15349.633,1.986,-2.985,-0.525
81,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,-10.0,-0.1,False,False,9999,0.004,-0.008,1.882,1.905,1905.327,1.996,-2.992,3.118
82,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,-10.0,0.1,False,False,9999,0.003,-0.007,1.808,1.77,1770.472,1.997,-2.993,3.192
83,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,-10.0,10.0,False,False,9999,-0.007,0.0,-1.835,1.864,1864.103,2.007,-3.0,6.835
84,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,-0.1,-10.0,False,False,9999,0.014,-0.015,5.532,15.388,15388.099,1.986,-2.985,-0.532
85,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,-0.1,-0.1,False,False,9999,0.004,-0.008,1.889,1.918,1918.388,1.996,-2.992,3.111
86,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,-0.1,0.1,False,False,9999,0.003,-0.007,1.815,1.783,1783.02,1.997,-2.993,3.185
87,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,-0.1,10.0,False,False,9999,-0.007,-0.001,-1.828,1.851,1851.245,2.007,-2.999,6.828
88,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,0.1,-10.0,False,False,9999,0.014,-0.015,5.532,15.389,15388.877,1.986,-2.985,-0.532
89,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,0.1,-0.1,False,False,9999,0.004,-0.008,1.889,1.919,1918.653,1.996,-2.992,3.111
90,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,0.1,0.1,False,False,9999,0.003,-0.007,1.815,1.783,1783.274,1.997,-2.993,3.185
91,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,0.1,10.0,False,False,9999,-0.007,-0.001,-1.828,1.851,1850.986,2.007,-2.999,6.828
92,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,10.0,-10.0,False,False,9999,0.014,-0.015,5.539,15.427,15427.393,1.986,-2.985,-0.539
93,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,10.0,-0.1,False,False,9999,0.004,-0.008,1.896,1.932,1931.763,1.996,-2.992,3.104
94,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,10.0,0.1,False,False,9999,0.003,-0.008,1.822,1.796,1795.871,1.997,-2.992,3.178
95,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-0.1,10.0,10.0,False,False,9999,-0.007,-0.001,-1.821,1.838,1838.178,2.007,-2.999,6.821
